,city,cloudiness,country,date,humidity,lat,lon,temperature,windspeed
0,Hobart,0,AU,1550966400,48,-42.88,147.33,64.4,8.05
1,Lejanias,8,CO,1550970007,53,3.53,-74.02,79.6,2.26
2,Atuona,0,PF,1550970007,100,-9.8,-139.03,81.71,15.46
3,Ushuaia,76,AR,1550969863,98,-54.81,-68.31,35.63,14.9
4,Busselton,8,AU,1550970008,100,-33.64,115.35,65.29,11.77
5,Rorvik,88,NO,1550970008,91,64.86,11.24,43.28,19.26
6,Arraial do Cabo,8,BR,1550970009,86,-22.97,-42.02,80.59,13.22
7,Oyama,75,JP,1550966400,56,36.31,139.8,41,1.12
8,Port Elizabeth,90,US,1550968860,93,39.31,-74.98,37.4,11.41
9,Bilma,0,NE,1550970011,26,18.69,12.92,58.18,10.42
10,Punta Arenas,75,CL,1550966400,48,-53.16,-70.91,42.8,9.17
11,Kyle,1,US,1550968500,18,29.99,-97.88,71.6,6.93
12,Bluff,36,AU,1550970011,56,-23.58,149.07,81.94,6.17
13,Barrow,0,AR,1550970012,61,-38.31,-60.23,63.49,14.9
14,Saint-Pierre,0,FR,1550968200,69,48.95,4.24,42.8,8.05
15,Mindelo,0,PT,1550968200,76,41.31,-8.72,53.6,1.12
16,Bozuyuk,75,TR,1550967600,98,39.91,30.04,33.8,8.05
17,Lebu,75,ET,1550966400,67,8.96,38.73,62.6,11.41
18,Cravo Norte,56,CO,1550970014,37,6.3,-70.2,91.21,11.99
19,Huilong,88,CN,1550970014,91,28.89,110.18,34.51,2.26
20,Mataura,76,NZ,1550970015,63,-46.19,168.86,55.21,13.78
21,Saskylakh,48,RU,1550970015,61,71.97,114.09,-13.74,17.47
22,Nishihara,0,JP,1550968200,39,35.74,139.53,48.2,4.7
23,Albany,1,US,1550968680,63,42.65,-73.75,32,5.82
24,Avarua,76,CK,1550968200,70,-21.21,-159.78,84.2,13.87
25,Udachnyy,48,RU,1550970017,80,66.42,112.4,2.6,4.27
26,Tessalit,0,ML,1550970017,16,20.2,1.01,56.11,11.43
27,Acapulco,5,MX,1550965260,78,16.86,-99.88,80.6,4.7
28,Cayenne,64,GF,1550968200,74,4.94,-52.33,78.8,8.05
29,Tazmalt,40,DZ,1550966400,71,36.39,4.4,57.2,16.11
30,Vaini,0,IN,1550966400,63,15.34,74.49,66.2,3.04
31,Yellowknife,5,CA,1550966400,57,62.45,-114.38,-11.21,5.82
32,Conceicao do Araguaia,20,BR,1550970016,94,-8.26,-49.26,73.3,3.27
33,Nalut,36,LY,1550970020,96,31.86,10.98,40.18,19.15
34,Fort Nelson,20,CA,1550966400,55,58.81,-122.69,10.4,3.36
35,Mount Darwin,0,ZW,1550970020,84,-16.77,31.58,57.73,2.71
36,Tumaco,56,CO,1550970021,90,1.8,-78.82,77.35,4.38
37,Khatanga,76,RU,1550970021,77,71.98,102.47,-7.75,20.83
38,Jamestown,0,AU,1550970021,33,-33.21,138.6,81.08,10.65
39,Takikawa,40,JP,1550966400,67,43.62,141.95,21.2,14.99
40,Maniwaki,56,CA,1550970022,82,46.38,-75.98,25.33,4.72
41,Kaitangata,92,NZ,1550970023,74,-46.28,169.85,51.7,14.79
42,Touros,40,BR,1550970000,100,-5.2,-35.46,77,5.82
43,Butaritari,32,KI,1550970023,100,3.07,172.79,82.25,13.22
44,Arona,0,IT,1550967600,80,45.76,8.56,42.8,3.36
45,Chernyshevskiy,64,RU,1550970024,82,63.01,112.47,12.32,7.07
46,Puro,0,PH,1550970024,78,13.13,123.76,77.03,5.73
47,Waingapu,36,ID,1550970025,97,-9.65,120.26,77.8,3.49
48,Kavaratti,0,IN,1550970008,100,10.57,72.64,81.62,7.4
49,Hermanus,0,ZA,1550970026,99,-34.42,19.24,57.68,2.37
50,Muisne,88,EC,1550970026,95,0.61,-80.02,74.56,2.48
51,Puerto Ayora,75,EC,1550966400,70,-0.74,-90.35,84.2,6.93
52,Shache,24,CN,1550970026,76,38.42,77.24,18.98,5.61
53,East London,48,ZA,1550970027,100,-33.02,27.91,73.07,12.66
54,Vila Franca do Campo,40,PT,1550968200,77,37.72,-25.43,59,13.87
55,Hasaki,0,JP,1550968200,36,35.73,140.83,46.4,2.24
56,Port Lincoln,0,AU,1550970028,67,-34.72,135.86,77.08,12.21
